filename,xcenter,ycenter,area,eccentricity,angle,perimeter,Hue,Saturation,Class,Temperature
1650.jpg,248.9566848,232.3735343,0.221783784,0.739888975,0.614435933,2677,0.000704092,0.002721586,,80
1650.jpg,409.4337844,38.09328178,0.012426426,0.739203052,-0.459962314,435,0.048332528,0.04301595,torso,79
1650.jpg,268.9148235,140.7776471,0.012762763,0.444254012,-0.282919042,325,0.037647059,0.023764706,torso,80
1650.jpg,248.9566848,232.3735343,0.221783784,0.739888975,0.614435933,2677,0.000704092,0.002721586,torso,81
1650.jpg,268.9148235,140.7776471,0.012762763,0.444254012,-0.282919042,325,0.037647059,0.023764706,arm,80
1650.jpg,409.4337844,38.09328178,0.012426426,0.739203052,-0.459962314,435,0.048332528,0.04301595,arm,77
1651.jpg,274.8116108,246.5466841,0.218033033,0.738799409,0.676551067,3127,0.003429516,0.002286344,,82
1651.jpg,297.1691858,152.5560702,0.012318318,0.380596566,-0.25852664,303,0.013895661,0.050463189,torso,80
1651.jpg,442.6377108,49.50459888,0.011753754,0.749657907,-0.518658671,535,0.016351559,0.026826776,arm,77
1652.jpg,280.4159701,251.0224052,0.216996997,0.761042747,0.696444389,3063,0.003515084,0.00038749,torso,82
1652.jpg,304.1351947,155.1660544,0.012261261,0.372211694,-0.197491184,321,0.042125888,0.010531472,arm,77
1652.jpg,451.9776706,51.19918802,0.011834835,0.757883024,-0.455202524,541,0.031210353,0.022583101,arm,77
1653.jpg,283.1038741,243.2363108,0.213009009,0.757721875,0.694026211,3025,0.002565838,0.000789489,torso,82
1653.jpg,308.6157004,146.7611596,0.011705706,0.363799255,-0.265478839,313,0.000769625,0.030271934,arm,80
1654.jpg,265.7711839,243.738185,0.216678679,0.750638546,0.695531916,2937,0.002924301,0.002536242,torso,83
1654.jpg,294.2584209,146.1953651,0.011144144,0.418746588,-0.375317893,297,0.007545136,0.017784964,arm,82
1655.jpg,247.47110510798367,228.2754128,0.20676576576576577,0.7667471825204453,0.687232549,3231,0.002759502,0.001829986,torso,78
1655.jpg,275.9873417721519,133.80043091839482,0.01115015,0.3770765796338031,-0.238816763,301,0.041206572,0.025316456,arm,77
1656.jpg,221.2537791403594,215.7001578436134,0.19786186186186186,0.7318287075486819,0.6398447455970662,2541,0.001426663,0.000591914,torso,78
1656.jpg,260.33931972789117,132.38993197278913,0.011036036036036036,0.3760418942967352,-0.299917286,299,0.029115646,0.026666667,arm,77
1656.jpg,378.85416070917927,387.2244781241064,0.010501501501501502,0.6678140808255544,-0.884569386,437,0.059765513,0.066342579,arm,76
1657.jpg,273.61137063382523,266.42955727784266,0.11314114114114114,0.2867394767251816,0.1617977254907526,1911,0.004167109,0.001698694,torso,77
1657.jpg,242.4594943240454,129.71852425180597,0.01163964,0.3543627040701844,-0.209093754,307,0.033539731682146544,0.038957688,arm,76
1657.jpg,364.94608256107836,382.7663577646728,0.010693693693693693,0.6408390847488162,-0.925139674,421,0.063465319,0.00645886,arm,76
1657.jpg,106.8827264381885,130.8481104651163,0.078510511,0.7006932323550702,-0.833148852,941,0.002141983,0.004628213,head,80
1658.jpg,255.55775612605197,275.72169272838295,0.11311411411411411,0.276286704,0.20682974850020003,1799,0.002283166,0.004008814,torso,77
